,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Emotion
9,Various Artists,Khamoshiyan (Original Motion Picture Soundtrack),Baatein Ye Kabhi Na - Male,0PxMHdQ6bSz9q0eJj3kJzb,0.558,0.506,1,-6.761,0,0.0236,0.704,3.05e-06,0.0896,0.358,90.001,4,Fear
10,M. M. Keeravani,Jism,Jadu Hai Nasha Hai - 2002,3ezYLk9ned8ITGIPMvfpew,0.664,0.648,0,-9.066,0,0.0497,0.248,2.32e-05,0.0701,0.373,95.041,4,Fear
11,Various Artists,Jism 2,Abhi Abhi,1tKhy83q8OsdcpZaX9N4Z2,0.566,0.634,2,-5.551,1,0.0443,0.145,0.000716,0.0814,0.36,143.89,4,Fear
12,Various Artists,Ek Villain,Zaroorat,32U1XMh3DKlm45uvpofhvY,0.354,0.712,3,-6.109,0,0.0589,0.358,4.19e-05,0.274,0.238,93.345,4,Fear
13,Pritam,Tum Mile (Original Motion Picture Soundtrack),Dil Ibaadat,3Kl8p2PxVf8eAayLwTxOIm,0.59,0.859,2,-5.005,0,0.0416,0.633,0.0,0.286,0.634,149.966,4,Fear
14,Shankar-Ehsaan-Loy,Dil Chahta Hai,Tanhayee,5HXJV5FjXdfUk3UFBTg8Fe,0.638,0.413,8,-10.56,1,0.0602,0.104,0.0,0.107,0.145,96.986,4,Fear
15,Vishal-Shekhar,Karam,Tinka Tinka,7ybkDTSOcZu431OzpfcOJv,0.612,0.459,10,-10.497,0,0.0376,0.546,0.000272,0.0869,0.728,163.992,4,Fear
16,Pritam,Bhool Bhulaiyaa,Mere Dholna,2R4zzmPXIFuBH0BqdWDkfC,0.68,0.973,8,-2.881,1,0.122,0.414,0.0,0.216,0.727,115.061,4,Fear
17,Hemant Kumar,Bees Saal Baad,Kahin Deep Jale Kahin Dil,3jtcSXIONWFoyRXGOlmnR2,0.305,0.327,6,-11.444,0,0.0338,0.965,0.568,0.338,0.281,102.776,4,Fear
18,Various Artists,Fear,Tanha Tanha-Himesh Reshammiya,3vb2fLaqWrXYYgRNnHRD8R,0.813,0.531,8,-7.242,0,0.0333,0.221,0.0,0.121,0.564,101.931,4,Fear
19,Ram Sampath,Talaash,Muskaanein Jhooti Hai,6LX6modQsxnBouh7yZT6qx,0.748,0.444,8,-10.353,0,0.0381,0.405,5.01e-05,0.116,0.383,120.005,4,Fear
20,Various Artists,Ragini Mms 2,Lori Of Death,5r6KXZ2Z5NH9ElW6Hyi0Ui,0.583,0.659,11,-6.92,0,0.0412,0.113,4.03e-05,0.102,0.288,149.937,4,Fear
21,Anu Malik,Krishna Cottage,Suna Suna,5RdZsV4TuWBCmigRvlWHGv,0.359,0.411,2,-9.303,1,0.0466,0.488,3.71e-05,0.0946,0.149,77.06,4,Fear
22,KK,Tribute To K.K. - A Legacy,Aaja Gufaon Mein Aa,7ine6uylbtMyQiRPi2vSSD,0.611,0.496,2,-11.08,1,0.0329,0.0469,0.0,0.11,0.214,100.012,4,Fear
23,Madan Mohan,Mera Saaya,Mera Saaya Saath Hoga,2YbrPbCH4tCSRvnnl9mpAX,0.548,0.422,2,-10.23,1,0.029,0.982,0.102,0.229,0.585,95.372,4,Fear
24,Afsana Khan,Titliaan,Titliaan,1980E4Grgu5xAhNbFZ1mb1,0.745,0.757,6,-2.572,1,0.0333,0.332,0.0,0.125,0.712,123.962,4,Fear
25,Various Artists,The Shaukeens,Manali Trance,4n1fgIJ6WtHxfBimbDav8v,0.613,0.84,6,-4.112,1,0.0759,0.00807,1.41e-05,0.212,0.899,156.051,4,Fear
26,Madan Mohan,Woh Kaun Thi,Naina Barse Rimjhim Rimjhim,60DZelvxITbcFR68fP8FDN,0.437,0.393,6,-8.124,1,0.0383,0.985,0.523,0.16,0.256,129.373,4,Fear
27,Adnan Sami,1920,Tujhe Main Pyar Karu,0xZNtGobZ3wnDeGoFPwN2N,0.556,0.597,11,-6.364,0,0.0366,0.342,0.0,0.141,0.331,96.99,4,Fear
28,Chirrantan Bhatt,Shaapit: The Cursed,Ajnabi Hawaayein,6HyoNDIpx057slv9bwR75l,0.557,0.58,6,-6.566,0,0.0429,0.589,0.000245,0.124,0.453,80.051,4,Fear
29,Adnan Sami,1920,Aise Jalta Hai Jiya,5NnL1mrGGpAejnTaFdldbp,0.645,0.559,2,-7.469,1,0.037,0.0686,0.0119,0.16,0.452,104.994,4,Fear
0,Vishal-Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),Bahara,1gwO79MdYdumgIjxq8eCxB,0.595,0.739,5,-6.733,1,0.0359,0.0716,6.98e-06,0.134,0.722,87.834,4,Happy
1,Zaeden,tere bina,tere bina,6N5WkgPIDoTdbCXyyIIKAv,0.889,0.341,7,-7.909,1,0.0424,0.117,3.7e-06,0.0734,0.942,118.003,4,Happy
2,Various Artists,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),Buddhu Sa Mann,1dxbiVeiV7nQ2V9qXnhJiB,0.644,0.87,10,-4.816,1,0.0394,0.193,0.0,0.549,0.702,125.998,4,Happy
3,Pritam,Yeh Jawaani Hai Deewani,Subhanallah,0GQngE2rOYvlKwEQjTAsP8,0.302,0.493,9,-5.038,1,0.0451,0.455,0.0,0.134,0.457,88.904,4,Happy
4,Rochak Kohli,"Dil Na Jaaneya (From ""Good Newwz"")",Dil Na Jaaneya,6zyozkRLgDlqZIUJzCwkgP,0.791,0.348,10,-9.457,1,0.0434,0.594,1.45e-06,0.097,0.49,131.972,4,Happy
5,Pritam,Jab We Met,Tum Se Hi,7eQl3Yqv35ioqUfveKHitE,0.609,0.538,6,-7.842,1,0.0273,0.328,0.0,0.125,0.608,130.015,4,Happy
6,Zaeden,Genesis 1:1,dooriyan,1HGtTmgl1sEycuS9lJviWQ,0.735,0.593,11,-7.473,1,0.0885,0.731,0.178,0.135,0.475,160.07,4,Happy
7,A.R. Rahman,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),Hosanna,3l7JaDIJmWMpvcJqhTJjrk,0.582,0.812,7,-6.147,1,0.0418,0.166,0.00162,0.0407,0.7,86.051,4,Happy
8,Shankar-Ehsaan-Loy,Karthik Calling Karthik,Uff Teri Adaa,0og9wKFGgFFNQnrBe7eisG,0.647,0.792,2,-9.815,1,0.0373,0.00536,5.82e-05,0.054,0.306,132.032,4,Happy
9,Mismatched,Mismatched: Season 1 (Music from the Netflix Original Series),Aise Kyun,2sT0eosuhBEkw8dz6qFxUo,0.528,0.435,5,-9.699,1,0.0347,0.705,2.98e-05,0.103,0.293,172.115,4,Happy
10,Abhijeet Srivastava,"Chashni (From ""Bharat"")","Chashni (From ""Bharat"")",5X5db3FrBOHbibrFKA02MQ,0.756,0.52,6,-8.642,1,0.0341,0.495,0.0,0.0901,0.684,119.92,4,Happy
11,Various Artists,Raabta,Ik Vaari Aa,7fyiYhn7STpHvT5g0lbncC,0.512,0.752,4,-4.857,0,0.0534,0.305,0.0,0.708,0.428,127.965,4,Happy
12,A.R. Rahman,Raanjhanaa (Original Motion Picture Soundtrack),Raanjhanaa,5OMUXgfXsSukZ0zxelpC3b,0.673,0.714,9,-8.042,1,0.039,0.111,0.0,0.0858,0.78,112.941,4,Happy
13,Ayushmann Khurrana,Latest Songs Of Ayushmann Khurrana,Mera Mann Kehne Laga,1ai3itvPFcWilE9NX0JTCf,0.46,0.444,7,-6.217,1,0.123,0.714,2.65e-05,0.0881,0.7,74.977,4,Happy
14,Armaan Malik,Tu/You - Spotify Singles,Tu / You,4L6hCEc9xFf01U4d66JzK0,0.717,0.471,9,-7.971,1,0.0348,0.792,1.24e-06,0.327,0.426,110.026,4,Happy
15,King,The Carnival,Tu Aake Dekhle,0yCWDaAgOtg6TKlNCg9rwA,0.77,0.84,11,-4.022,1,0.107,0.515,0.00452,0.145,0.192,96.012,4,Happy
16,Jatin-Lalit,Fanaa,Chand Sifarish,5EYZZvmNAH5VZCwuzYJqoA,0.829,0.665,2,-8.128,1,0.0868,0.242,1.75e-05,0.123,0.861,122.043,4,Happy
17,Sanam,Hai Apna Dil To Aawara - Sanam,Hai Apna Dil To Aawara,0gWQyG8QoBmB3HmvGugBWH,0.745,0.605,9,-7.091,1,0.0299,0.0267,0.0,0.098,0.963,115.942,4,Happy
18,Anu Malik,Main Hoon Na,Tumse Milke Dil Ka,1ax8ZuwRVkSdzzsIqyCNWQ,0.853,0.745,9,-8.636,0,0.109,0.0642,1.87e-06,0.0274,0.882,107.985,4,Happy
19,Atif Aslam,"Darasal (From ""Raabta"")","Darasal (From ""Raabta"")",3phw912iJRhtMfsdJ1k3Sr,0.705,0.422,0,-7.375,1,0.0299,0.793,0.0,0.0895,0.482,117.948,4,Happy
20,Shankar-Ehsaan-Loy,Taare Zameen Par,Bum Bum Bole,5Dq7d6Y2K2CRNFm1bC3I7A,0.818,0.768,5,-7.057,1,0.231,0.135,0.0,0.68,0.445,120.972,4,Happy
21,Anu Malik,Main Hoon Na,Tumhe Jo Maine Dekha,0pPGUL7171TRGgI6wyP8wP,0.734,0.903,0,-3.972,0,0.0649,0.432,0.00569,0.2,0.712,102.009,4,Happy
22,Ajay-Atul,"Mera Naam Mary (From ""Brothers"")","Mera Naam Mary (From ""Brothers"")",34CSgG7jLp84cJPylUEOuE,0.668,0.779,2,-8.486,1,0.238,0.278,1.8e-05,0.287,0.684,79.99,4,Happy
23,Javed Ali,"Srivalli (From ""Pushpa The Rise Part - 01"")","Srivalli (From ""Pushpa The Rise Part - 01"")",7sVEoPc5ZUUQerRkgTypUZ,0.787,0.603,9,-4.781,1,0.034,0.435,0.0,0.101,0.743,106.984,4,Happy
24,Amaal Mallik,Roy,Sooraj Dooba Hain,48pyUxg9RYuwie5M9R7qRn,0.616,0.75,2,-4.629,1,0.0594,0.172,0.0,0.137,0.434,128.051,4,Happy
25,Various Artists,Khamoshi- The Musical,Aaj Main Upar - Khamoshi - The Musical / Soundtrack Version,4LSYdjGafFt16ItlHwCE8j,0.648,0.771,9,-9.822,1,0.0576,0.274,0.000692,0.0651,0.883,98.056,4,Happy
26,Harrdy Sandhu,Kya Baat Ay,Kya Baat Ay,1ZaeaGLhFSckG8sv1y7AWk,0.849,0.592,6,-4.309,0,0.102,0.632,2.39e-06,0.108,0.652,89.966,4,Happy
27,Shankar-Ehsaan-Loy,Dil Chahta Hai,Woh Ladki Hai Kahan,2tO0QPdCA0jgDBshTuYYkc,0.786,0.677,8,-8.624,1,0.183,0.172,0.000104,0.0446,0.858,94.985,4,Happy
28,Sajid-Wajid,Main Tera Hero,Palat - Tera Hero Idhar Hai,0dTjGvzVRsvUjM9jJVWEDK,0.411,0.729,9,-4.738,0,0.0983,0.132,0.0,0.177,0.498,96.053,3,Happy
29,Pritam,"Galti Se Mistake (From ""Jagga Jasoos"")","Galti Se Mistake (From ""Jagga Jasoos"")",0ldzwWfM7vVxZ9bmxK3Q8m,0.438,0.797,11,-4.395,0,0.227,0.0173,0.0,0.164,0.71,195.237,3,Happy
30,Amit Trivedi,Queen,London Thumakda,2qJAzSE6uC94oH2NRoPrGl,0.835,0.718,0,-6.614,1,0.0818,0.363,0.000919,0.0625,0.64,139.964,4,Happy
31,Vishal-Shekhar,Befikre,Nashe Si Chadh Gayi,0biCSADTAblvLTLtJz4pXO,0.799,0.784,4,-5.207,0,0.0519,0.11,2.84e-06,0.227,0.26,96.953,4,Happy
32,Vishal-Shekhar,"Ghungroo (From ""War"")","Ghungroo (From ""War"")",0WdbnNKO0Jt4BZACSDQh44,0.695,0.727,6,-6.274,0,0.0323,0.0744,0.000175,0.533,0.864,118.034,4,Happy
33,Kalyanji-Anandji,Upkar,Mere Desh Ki Dharti,7iir6gqwSpWUAJDYAPQvXz,0.321,0.654,6,-12.201,1,0.1,0.892,0.0182,0.74,0.482,93.875,4,Happy
34,Param Singh,Daru Badnaam,Daru Badnaam,2TzyJEUfWHGRsk3r6Emvbk,0.541,0.676,8,-3.893,0,0.153,0.442,0.0,0.159,0.845,90.037,4,Happy
35,Vishal-Shekhar,Tiger Zinda Hai,Swag Se Swagat,2AjGLmuZK1fu21n1IpB9RU,0.825,0.559,1,-7.907,1,0.0722,0.0212,0.000689,0.205,0.207,105.957,4,Happy
36,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],"The Breakup Song (From ""Ae Dil Hai Mushkil"")",5FihcmME7NlwW8KbYOaHVH,0.818,0.93,11,-2.982,1,0.247,0.33,0.0,0.658,0.831,113.988,4,Happy
0,Various Artists,Jhuk Gaya Aasman,Unse Mili Nazar Ke Mere Hosh Ud Gai,7FOTN3rhNJ98H6SPr7TFtr,0.558,0.351,9,-17.959,1,0.0528,0.959,0.000583,0.0393,0.941,78.867,4,Neutral
1,Madan Mohan,Woh Kaun Thi,Lag Ja Gale Se Phir,5Y5c5bJK0O7KJDDAYKkppH,0.312,0.452,8,-11.872,1,0.0391,0.796,0.000874,0.286,0.391,132.485,3,Neutral
2,Vishal Bhardwaj,Omkara (Original Motion Picture Soundtrack),Naina,1lYH10ZZQyeeGbYugIvVkH,0.628,0.564,11,-8.503,0,0.038,0.16,2.66e-05,0.0963,0.465,134.377,4,Neutral
3,Various Artists,Classic Revival Ni Sultana Re,Mere Mehboob Qayamat Hogi,6a9JaoHp5F9lVA7dCjfIHk,0.324,0.46,3,-10.583,1,0.0671,0.656,0.000185,0.135,0.346,98.656,4,Neutral
4,Shankar Jaikishan,Andaz,Zindagi Ek Safar Hai Suhana - Kishore Kumar,6pFkZQ3o224K3dAR16oWAj,0.546,0.746,5,-9.557,0,0.0928,0.86,0.0225,0.385,0.791,118.081,4,Neutral
5,Swattrex,Darkhaast Lofi,Darkhaast Lofi,1HQn4aztTRGffwpLfnZEGV,0.478,0.391,7,-12.924,1,0.0323,0.847,0.468,0.246,0.119,112.109,4,Neutral
6,Various Artists,Classic Revival Ek Pyar Ka Naghma Hai,Ek Pyar Ka Naghma Hai,6RELGnjAoxtO1IRYUcEcta,0.268,0.371,2,-10.807,1,0.0318,0.235,0.00067,0.0674,0.255,88.688,4,Neutral
7,R. D. Burman,Revival Vol.18 - Kishore Kumar O Hansini,Ruk Jana Nahin,0oc74ogfxd2jBkfLVvxXGZ,0.366,0.357,4,-16.111,1,0.0397,0.83,0.000674,0.135,0.398,129.716,4,Neutral
8,Amit Trivedi,"Ghodey Pe Sawaar (From ""Qala"")","Ghodey Pe Sawaar (From ""Qala"")",1a8w8nlIyIhE2W1HIayKnl,0.777,0.481,3,-6.127,1,0.0274,0.794,4.23e-05,0.265,0.814,102.003,4,Neutral
9,Ismail Darbar,Hum Dil De Chuke Sanam,Chand Chhupa Badal Mein,6LVYBlYJ4pezcfk7V8Tttk,0.402,0.61,11,-9.509,0,0.141,0.368,0.0,0.109,0.463,86.248,4,Neutral
10,Various Artists,Kabir Singh,Pehla Pyaar,0ojpEubhy4JNeVftmVuiN7,0.607,0.713,4,-5.105,1,0.03,0.56,4.98e-05,0.101,0.611,124.868,4,Neutral
11,Various Artists,Raabta,Darasal,3OZLwCFeWOCFHTlIIrwzmO,0.705,0.422,0,-7.375,1,0.0299,0.793,0.0,0.0895,0.484,117.949,4,Neutral
12,Various Artists,Khamoshi- The Musical,Bahon Ke Darmiyan - Khamoshi - The Musical / Soundtrack Version,5RV8PjHniE101mZtug4Kpu,0.596,0.437,9,-11.855,1,0.0337,0.378,1.52e-05,0.139,0.446,108.721,4,Neutral
13,Laxmikant–Pyarelal,Mr. India,Zindagi Ki Yahi Reet Hai,5RCgj2AE8f5bk4nxCH5U5z,0.349,0.744,5,-8.625,1,0.0468,0.646,5.95e-06,0.262,0.749,93.584,4,Neutral
14,Various Artists,I Love You...Forever,"Iktara (From ""Wake Up Sid"")",0bmp0lE3ArELHqda9PBMVG,0.616,0.525,7,-7.065,1,0.0258,0.401,0.000484,0.309,0.427,79.976,4,Neutral
15,Pritam,Jab We Met,Tum Se Hi,7eQl3Yqv35ioqUfveKHitE,0.609,0.538,6,-7.842,1,0.0273,0.328,0.0,0.125,0.608,130.015,4,Neutral
16,Tanishk Bagchi,Raataan Lambiyan (Cover By Nikhita Gandhi),Raataan Lambiyan - Cover By Nikhita Gandhi,0Po3k6o3KGRPOhrs49BROb,0.476,0.491,4,-9.097,1,0.0357,0.852,0.0,0.109,0.563,65.191,4,Neutral
17,Guru Randhawa,"Nain Ta Heere (From ""Jugjugg Jeeyo"")","Nain Ta Heere (From ""Jugjugg Jeeyo"")",3NpbGCDrcQTERaZb5dHhd3,0.69,0.575,11,-5.763,0,0.124,0.345,0.0,0.309,0.509,87.967,4,Neutral
18,Anu Malik,Main Hoon Na,Chale Jaise Hawaien,3pRF060IEOI5XSQAvONgSt,0.75,0.861,1,-11.029,1,0.0613,0.0755,0.00586,0.202,0.744,117.593,4,Neutral
19,Ilaiyaraaja,Sadma (Original Motion Picture Soundtrack),Aye Zindagi Gale Lagaa Le,4Qnhgqm32HUt8rIOqURZ1w,0.369,0.39,6,-8.315,0,0.0429,0.57,0.0,0.177,0.428,159.255,4,Neutral
20,A.R. Rahman,Roja (Original Motion Picture Soundtrack),"Chhoti Si Aasha - Version, 1",47U38LbRLzE76b6QOPZYtu,0.639,0.245,2,-15.25,1,0.0479,0.128,4.69e-06,0.1,0.524,172.05,4,Neutral
21,Pritam,Yeh Jawaani Hai Deewani,Ilahi,5cgKosPPj5Cs9a2JQufUc1,0.593,0.967,9,-5.767,1,0.0907,0.166,2.54e-05,0.105,0.452,131.988,4,Neutral
22,Shreya Ghoshal,"Slow Motion (From ""Bharat"")","Slow Motion (From ""Bharat"")",7yEuRloGyxyu1KaWBTPP1Z,0.574,0.738,10,-5.526,1,0.0958,0.0235,2.03e-06,0.0959,0.307,109.996,4,Neutral
23,Pritam,New York,Hai Junoon,5u4q3iqZ9IMbXaR7bsGYbW,0.739,0.664,2,-10.582,1,0.0338,0.539,1.14e-06,0.0856,0.878,106.021,4,Neutral
24,Vishal-Shekhar,Dostana (Original Motion Picture Soundtrack),Jaane Kyun,6M2UnI1LnXuXlWU54CKmKx,0.778,0.812,4,-8.561,0,0.046,0.0573,8.28e-06,0.243,0.791,99.962,4,Neutral
25,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),Roobaroo,3vqJY3pVELLIxqXXyI08yr,0.675,0.582,9,-8.891,1,0.0277,0.661,5.56e-06,0.0854,0.538,120.991,4,Neutral
26,A.R. Rahman,Swades,Yun Hi Chala Chal,3GrTI5vAoDD3VE24VTBJAc,0.822,0.687,9,-8.167,1,0.0421,0.0593,0.0,0.0609,0.816,106.47,4,Neutral
27,Prateek Kuhad,Kasoor,Kasoor,08kTa3SL9sV6Iy8KLKtGql,0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,4,Neutral
28,Jatin-Lalit,Jo Jeeta Wohi Sikandar,Pehla Nasha,6cCSo8zu3bRck519ZqRGfk,0.458,0.339,5,-14.309,1,0.0333,0.775,2.04e-05,0.0799,0.529,151.986,4,Neutral
