,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Emotion
35,Sachet Tandon,"Bekhayali (From ""Kabir Singh"")","Bekhayali (From ""Kabir Singh"")",1feANd8EfcDP5UqSvbheM3,0.308,0.585,9,-5.18,0,0.0428,0.45,0.0,0.319,0.345,171.843,3,Sad
36,Guru Randhawa,"Enni Soni (From ""Saaho"")","Enni Soni (From ""Saaho"")",40S8Et5fYlBCa0QgBTEOE1,0.731,0.668,8,-6.178,0,0.0638,0.0803,6.22e-06,0.0796,0.748,92.242,4,Neutral
37,Vishal-Shekhar,War,Jai Jai Shivshankar,5t724RmY6ojvDVTldLhkua,0.825,0.904,5,-5.414,0,0.0787,0.257,1.21e-05,0.0715,0.528,129.036,4,Surprise
38,Sachin-Jigar,"The Naari Naari Song (From ""Made in China"")","The Naari Naari Song (From ""Made in China"")",0VhKdIMXZ3INkyDoIyPy5l,0.704,0.933,1,-4.165,1,0.043,0.039,0.0,0.582,0.595,119.984,4,Surprise
39,Sachin-Jigar,"Odhani (From ""Made in China"")","Odhani (From ""Made in China"")",2q0V50aNlI1RQXJyE5HDgD,0.711,0.731,2,-6.651,1,0.0569,0.233,0.0,0.178,0.474,130.0,4,Angry
40,Sachin-Jigar,"Don't Be Shy Again (From ""Bala"")","Don't Be Shy Again (From ""Bala"")",2TbCdbFzs2xO2nzasn0Qvw,0.798,0.905,5,-3.731,0,0.0581,0.0979,4.22e-06,0.307,0.905,105.005,4,Surprise
41,Various Artists,"O Saki Saki (From ""Batla House"")","O Saki Saki (From ""Batla House"")",4cFwhwH5ydnHgB0Tv3lZsm,0.737,0.961,10,-0.155,0,0.0747,0.163,0.0,0.361,0.567,108.014,4,Surprise
42,Arijit Singh,"Pachtaoge (From ""Jaani Ve"")","Pachtaoge (From ""Jaani Ve"")",5QVHNa0ppJUOoqSd36ovQS,0.515,0.691,5,-4.028,0,0.0344,0.624,0.0,0.121,0.484,169.521,3,Sad
43,Sohail Sen,"Shaitan Ka Saala (From ""Housefull 4"")","Shaitan Ka Saala (From ""Housefull 4"")",7IAJzec1UxGYmNvbPTHbxx,0.844,0.772,7,-4.621,1,0.194,0.284,2.38e-06,0.368,0.336,100.008,4,Surprise
44,Sachin-Jigar,"Valam (From ""Made in China"")","Valam (From ""Made in China"")",6pe0FG3XseFHT3SaaMw5M5,0.641,0.468,0,-8.068,1,0.0286,0.589,0.0,0.0774,0.301,91.985,4,Sad
45,Karan Sehmbi,"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",5wdlz4N7s1Xyr4y4RXhZJM,0.739,0.644,0,-5.881,0,0.0503,0.103,0.0,0.189,0.315,94.996,4,Neutral
46,Badshah,Paagal,Paagal,4gyPGtExOjj1rsByKW33LR,0.687,0.854,11,-5.368,0,0.308,0.0619,0.000645,0.147,0.721,214.016,4,Surprise
47,Zack Knight,"Bom Diggy Diggy (From ""Sonu Ke Titu Ki Sweety"")",Bom Diggy Diggy,6qCNaRRr5xJALfNJvh0NAw,0.782,0.827,11,-4.219,0,0.0627,0.159,0.0,0.226,0.498,104.032,4,Surprise
48,Guru Randhawa,Hits Of Guru Randhawa,Suit Suit,2mwBSO58y92EYmEFpDfmS7,0.767,0.869,2,-3.381,0,0.0908,0.14,0.0,0.221,0.751,98.208,4,Angry
49,Yo Yo Honey Singh,Urvashi,Urvashi,342pJxy678kgQrZXCL9RG7,0.792,0.703,0,-4.343,1,0.0368,0.195,0.0,0.072,0.634,105.995,4,Surprise
50,Various Artists,"The Wakhra Song (From ""Judgementall Hai Kya"")",The Wakhra Song,6N6mJlsjYRV0yoMSPS5JiQ,0.788,0.894,5,-2.661,0,0.198,0.339,0.000253,0.0649,0.588,89.945,4,Happy
51,Various Artists,"Duniyaa (From ""Luka Chuppi"")","Duniyaa (From ""Luka Chuppi"")",2tjWCe2W7sgvS3C8NHcdtI,0.435,0.658,7,-5.949,0,0.0368,0.699,0.0,0.125,0.524,77.17,4,Neutral
52,Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")",3NKuSd9Qa5fzwhqiuKYFh4,0.765,0.89,5,-4.608,0,0.0824,0.502,0.0,0.0423,0.918,99.961,4,Happy
53,Asees Kaur,The Asees Kaur Collection,Ve Maahi,7ltu5scschhmNWp5rp8rVF,0.65,0.551,0,-6.906,1,0.0274,0.405,0.0,0.219,0.294,102.934,4,Sad
54,Tanishk Bagchi,Leja Re,Leja Re,68iBMrMRc1rg4eAxJbvxch,0.791,0.761,1,-4.414,1,0.06,0.558,0.0,0.107,0.449,100.031,4,Happy
55,Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,"Chhote Chhote Peg (From ""Sonu Ke Titu Ki Sweety"")",21Pn6p1f7GyZ7FurZYnJc5,0.831,0.908,7,-3.317,1,0.101,0.328,0.00371,0.077,0.734,104.962,4,Happy
56,Guru Randhawa,High Rated Gabru - Guru Randhawa,"Ishare Tere (From ""Ishare Tere"")",3bHI0o9TLQ2jJzjr0ES7dX,0.707,0.941,1,-2.606,0,0.041,0.0173,3.65e-05,0.134,0.337,99.013,4,Happy
57,Arijit Singh,Best of Arijit Singh,Nashe Si Chadh Gayi,2EKXTA9QxkW6XeQ2uEeIii,0.8,0.779,4,-5.515,0,0.0553,0.113,0.0,0.206,0.266,96.948,4,Angry
58,Pritam,Yeh Jawaani Hai Deewani,Balam Pichkari,18e3XXYCv4Tx8uUl1mP3CN,0.732,0.944,0,-4.115,1,0.09,0.209,0.0,0.401,0.957,120.02,4,Surprise
59,Badshah,The Badshah of Party Hits,Let's Nacho,67ZZqOrQH4Bshguxw9GPkh,0.742,0.947,0,-3.749,1,0.0321,0.0906,0.0221,0.0721,0.88,130.043,4,Surprise
60,Various Artists,"Mera Wala Dance (From ""Simmba"")","Mera Wala Dance (From ""Simmba"")",2WDNxbQejWu16O44FcMEFM,0.676,0.948,8,-2.628,1,0.0803,0.0553,0.000218,0.0325,0.632,108.731,3,Surprise
61,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],"Cutiepie (From ""Ae Dil Hai Mushkil"")",7hXnhouVPnOnFwCGrQMHvB,0.799,0.929,0,-3.231,0,0.0668,0.253,0.000462,0.24,0.952,127.999,4,Surprise
62,Various Artists,Ungli (Original Motion Picture Soundtrack),Dance Basanti,1NxlktIRgiAPJ8U06v9veI,0.833,0.74,6,-4.513,0,0.129,0.166,2.74e-06,0.363,0.804,103.035,4,Surprise
63,Pritam,Yeh Jawaani Hai Deewani,Badtameez Dil,4eu27jAU2bbnyHUC3G75U8,0.806,0.932,2,-2.228,0,0.0684,0.24,0.0,0.216,0.792,106.021,4,Surprise
64,Various Artists,Bollywood Party With Meet Bros,"Baby Doll (From ""Ragini Mms 2"")",0QjiywAse0jM8QgPvtJrpC,0.836,0.839,4,-2.974,0,0.106,0.275,7.25e-06,0.181,0.507,103.992,4,Surprise
65,Vishal-Shekhar,Bang Bang (Original Motion Picture Soundtrack),Bang Bang,5R7HpWXej6SiCrd9YJsC5g,0.703,0.678,4,-8.644,0,0.0417,0.0478,7.02e-05,0.496,0.694,120.051,4,Fear
66,Pritam,"Manma Emotion Jaage (From ""Dilwale"")","Manma Emotion Jaage (From ""Dilwale"")",0eFNjt04kVq35UGIhsH3Ao,0.762,0.822,0,-2.758,1,0.0425,0.0284,0.0,0.367,0.467,101.998,4,Surprise
67,Pritam,Desi Boyz,Subha Hone Na De,6WediUhXDfm8FR3wlM0r3G,0.727,0.9,8,-4.529,1,0.0452,0.0805,0.0464,0.154,0.505,131.97,4,Surprise
68,Sohail Sen,"Ek Chumma (From ""Housefull 4"")","Ek Chumma (From ""Housefull 4"")",5q6eZbatNFuToQdA7FGhj5,0.74,0.903,1,-4.022,1,0.0461,0.204,0.0,0.509,0.949,114.065,4,Surprise
69,Meet Bros.,Dream Girl (Original Motion Picture Soundtrack),Radhe Radhe,1HbmeBqRlEk54KK8gxQqbZ,0.494,0.832,5,-3.727,0,0.291,0.518,0.0,0.679,0.737,140.039,4,Happy
70,Sanjay Leela Bhansali,Padmaavat,Khalibali,3JT0mVof65rIHpRZITwRx1,0.642,0.94,9,-5.274,1,0.102,0.15,0.0,0.0989,0.645,101.252,3,Angry
71,Various Artists,Raees,Laila Main Laila,6HQbaD0RomfUPO4KK866oI,0.623,0.924,4,-4.481,0,0.142,0.00764,2.73e-06,0.557,0.506,135.968,4,Surprise
72,Palak Muchhal,2016 Shinning Star - Palak Muchhal,"Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")",5b7u3idwfY2LyqMQlCwscm,0.531,0.431,2,-8.937,0,0.037,0.868,2.47e-05,0.127,0.19,107.99,4,Fear
73,Tulsi Kumar,Mesmeric Voice - Tulsi Kumar,"Sheher Ki Ladki (From ""Khandaani Shafakhana"")",6qajA2wXvAI4HMey8b1JVK,0.85,0.984,9,-0.649,1,0.166,0.0872,0.0,0.0535,0.814,100.028,4,Surprise
74,Mika Singh,"Milegi Milegi (From ""Stree"")","Milegi Milegi (From ""Stree"")",52uiJsA4FrtAZlgqxCJwJI,0.843,0.892,2,-4.371,1,0.0527,0.0512,1.13e-06,0.101,0.655,125.991,4,Surprise
75,Various Artists,Frolic Neha Kakkar,"Gali Gali (From ""Kgf Chapter 1"")",2m8P30Ly9Az1uGvFmhLTBI,0.788,0.95,5,-3.603,0,0.0757,0.188,1.41e-05,0.0969,0.742,126.013,4,Surprise
76,Badshah,"Tere Naal Nachna (From ""Nawabzaade"")","Tere Naal Nachna (From ""Nawabzaade"")",5DIt4eq2D6CZjX1s5jwrnP,0.912,0.677,0,-4.212,1,0.0713,0.193,0.0,0.0939,0.94,115.061,4,Angry
77,Param Singh,Daru Badnaam,Daru Badnaam,2TzyJEUfWHGRsk3r6Emvbk,0.541,0.676,8,-3.893,0,0.153,0.442,0.0,0.159,0.845,90.037,4,Happy
78,Atif Aslam,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")","Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",0Iz4CkptElGHo16r797Jsb,0.799,0.828,9,-4.846,0,0.0782,0.424,0.0,0.145,0.627,105.04,4,Happy
79,Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2Fv2injs4qAm8mJBGaxVKU,0.427,0.396,11,-7.556,1,0.0366,0.736,0.0,0.11,0.306,70.368,4,Sad
80,Guru Randhawa,"High Rated Gabru (From ""Nawabzaade"")","High Rated Gabru (From ""Nawabzaade"")",1ozrNv9W4KlprAmvgH0Yrq,0.685,0.841,2,-2.932,0,0.0942,0.118,0.0,0.26,0.59,97.929,4,Angry
81,Guru Randhawa,High Rated Gabru - Guru Randhawa,"High Rated Gabru (From ""High Rated Gabru"")",2LEwvQq0PFtrmIl2dikenr,0.732,0.781,2,-2.98,0,0.0812,0.357,0.0,0.2,0.842,91.907,4,Happy
82,Various Artists,Badrinath Ki Dulhania,Tamma Tamma Again,5sqPE9h98DkO5ms20NUiUg,0.724,0.848,2,-4.724,1,0.0522,0.0787,9.16e-05,0.104,0.781,123.02,4,Surprise
83,Ajay-Atul,Agneepath (Original Motion Picture Soundtrack),Chikni Chameli,1vSXwYeKnzsVvekSpqVabx,0.693,0.956,1,-5.012,0,0.071,0.289,0.0,0.294,0.665,90.005,4,Angry
84,Various Artists,Slowly Slowly,Slowly Slowly,4pBxb7WuLsC3YyA9cj4T2l,0.772,0.752,5,-5.169,1,0.0798,0.0858,0.0,0.728,0.455,101.027,4,Surprise
85,Shaarib Toshi,Saturday Saturday,Saturday Saturday,7MvQQGqYE4r0ucTarmI2Gr,0.847,0.938,8,-4.615,1,0.0974,0.149,0.0,0.107,0.786,130.02,4,Surprise
86,B Praak,"Naah Goriye (From ""Bala"")","Naah Goriye (From ""Bala"")",1CM4rFDU9q4EoLy2K44qE6,0.823,0.765,2,-1.695,0,0.0633,0.464,0.0,0.0601,0.715,99.96,4,Happy
87,Ajay-Atul,Dhadak,Zingaat,5raWEZXYAapq6Qw1GIEIkU,0.834,0.788,6,-7.294,0,0.213,0.359,0.27,0.396,0.705,130.032,4,Surprise
88,Various Artists,Frolic Neha Kakkar,"Badri Ki Dulhania (Title Track) [From ""Badrinath Ki Dulhania""]",1LyYUFXNt7TS3wxJF0Ksvb,0.759,0.952,2,-2.837,1,0.123,0.105,0.0,0.0693,0.812,128.039,4,Surprise
89,Various Artists,"The Bhoot Song (From ""Housefull 4"")","The Bhoot Song (From ""Housefull 4"")",1kyuz7HsgtrWBfM2mMHwPe,0.567,0.839,10,-5.325,0,0.131,0.0919,0.0272,0.189,0.785,104.974,3,Surprise
90,Pritam,Phantom,Afghan Jalebi (Film Version),1rEVydQSe04NJUqyyEyeEq,0.84,0.884,0,-3.217,1,0.334,0.427,0.0,0.0885,0.972,118.007,4,Fear
91,Mika Singh,"Hawa Hawa (From ""Mubarakan"")",Hawa Hawa,3AKgg2xh1XZEmB8vNks2Gi,0.825,0.798,7,-3.792,1,0.321,0.361,0.0,0.194,0.596,137.981,4,Fear
92,Vishal-Shekhar,Tiger Zinda Hai,Swag Se Swagat,2AjGLmuZK1fu21n1IpB9RU,0.825,0.559,1,-7.907,1,0.0722,0.0212,0.000689,0.205,0.207,105.957,4,Happy
93,Neha Kakkar,The Neha Kakkar Collection,Kala Chashma,3HhzqHPEN33a5UCKSfZpgi,0.801,0.856,0,-4.233,1,0.065,0.0984,6.62e-05,0.228,0.919,106.026,4,Surprise
94,Vishal-Shekhar,Ra-One,Chammak Challo,0EH7sgeiFqDa3eS7ieW2zs,0.742,0.879,0,-4.274,0,0.0328,0.0696,7.17e-06,0.0981,0.936,133.946,4,Surprise
95,Vishal-Shekhar,Best of Me Vishal Shekhar,"Desi Girl (From ""Dostana"")",5yDtBUvjNse5mr5887lj59,0.746,0.924,8,-6.057,1,0.0442,0.0169,0.00279,0.097,0.807,136.051,4,Surprise
96,Arijit Singh,Groove With Arijit Singh,"Main Tera Boyfriend (From ""Raabta"")",5VAkPCJTE6tbyReo9J4IQj,0.84,0.914,11,-3.916,0,0.0613,0.0958,0.0,0.115,0.651,104.019,4,Surprise
97,Sneha Khanwalkar,Khoobsurat,Abhi Toh Party Shuru Hui Hai,0rUN8ascPVT9iiLzC5ocPw,0.806,0.815,3,-5.373,0,0.0599,0.0081,2.35e-05,0.586,0.678,129.999,4,Surprise
98,Various Artists,Jabariya Jodi (Original Motion Picture Soundtrack),Khadke Glassy,7E2iTG33dfcHlxldckKQIi,0.884,0.95,1,-0.95,1,0.205,0.106,0.0,0.0449,0.703,104.952,4,Angry
99,Vishal-Shekhar,Bang Bang (Original Motion Picture Soundtrack),Tu Meri,39TJkE0AEkfWii8VB3JqSV,0.679,0.688,8,-5.522,1,0.0293,0.0773,0.0,0.704,0.424,127.951,4,Surprise
