,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Emotion
61,Aadesh Shrivastava,Baghban,Main Yahan Tu Wahan,4NiK177PXs2LeK5PEvjk95,0.299,0.275,2,-14.723,1,0.0358,0.23,3.26e-05,0.115,0.199,86.597,423693,4,Sad
62,Jeet Gannguli,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Hasi - Female Version,1cmZbGkCEVVAck2MsWpPYQ,0.52,0.485,4,-6.438,0,0.0269,0.927,0.000466,0.159,0.407,143.901,192187,4,Sad
63,Jawad Ahmad,Samjhawan,Samjhawan,0rk2X5TAhraBC5aCIXK2Rq,0.651,0.482,4,-8.666,1,0.0281,0.293,0.0,0.0811,0.517,106.993,269185,4,Happy
64,Shankar-Ehsaan-Loy,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Kal Ho Naa Ho,251PNRmJU9KcUnFQAB5t6I,0.532,0.529,0,-8.402,1,0.0352,0.334,0.000144,0.078,0.295,81.989,321240,4,Sad
65,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],"Bulleya (From ""Ae Dil Hai Mushkil"")",0Bz7dfqPY4JOGZO3O1j8Wh,0.552,0.769,2,-4.504,0,0.0465,0.497,0.0,0.112,0.702,86.957,348966,4,Angry
66,Darshan Raval,Baarish Lete Aana - Single,Baarish Lete Aana,1TEV1XrPtV617Y4Po50P5e,0.537,0.351,2,-8.937,1,0.0248,0.839,0.0,0.108,0.315,67.018,213500,4,Sad
67,Arijit Singh,Yours Truly Arijit,"Phir Le Aya Dil (From ""Barfi!"") - Reprise",1v44B665HjeVZiBMtT4TZT,0.231,0.545,7,-8.92,1,0.0358,0.838,3.5e-06,0.0961,0.325,77.727,305613,4,Sad
68,Vishal Mishra,"Nai Lagda (From ""Notebook"")","Nai Lagda (From ""Notebook"")",5NdVbWjNxxzv3SMxtINLu2,0.514,0.548,2,-7.145,1,0.0381,0.669,0.0,0.0849,0.383,153.794,287107,4,Sad
69,Jeet Gannguli,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Yeh Kaisi Jagah,4atChTS0bpYrvYveHeoWMP,0.452,0.533,0,-6.044,0,0.0293,0.883,0.000105,0.1,0.392,135.18,282106,4,Fear
70,Arjun Kanungo,Woh Baarishein,Woh Baarishein,3RFNUexrtXExkzTEiJ0eBh,0.287,0.297,1,-10.424,1,0.0301,0.766,5.36e-06,0.299,0.332,135.863,232866,4,Sad
71,Darshan Raval,Bhula Diya - Single,Bhula Diya,23Sw6Z8SSco0uJgfZNh4q5,0.331,0.465,0,-5.954,1,0.0397,0.556,0.0,0.356,0.11,136.193,217941,4,Sad
72,Various Artists,"Devdas - An Adaptation Of Sarat Chandra Chattopadhyay's ""Devdas""",Song: Hamesha Tumko Chaha,7508E9guaBFcipYVJTECBV,0.63,0.622,4,-7.105,0,0.0515,0.529,0.0,0.521,0.515,140.003,266200,4,Sad
73,Sachin-Jigar,"Maana Ke Hum Yaar Nahin (From ""Meri Pyaari Bindu"")","Maana Ke Hum Yaar Nahin (From ""Meri Pyaari Bindu"")",3tKGNet1OUJSx25Zu9Yqn5,0.528,0.37,8,-9.382,1,0.0249,0.823,0.0,0.139,0.345,90.92,264673,4,Sad
74,Amit Trivedi,Kedarnath,Jaan 'Nisaar (Arijit),6pzlnyHTVYi5FOmrgOmC95,0.481,0.392,4,-8.2,1,0.0246,0.478,0.0,0.122,0.257,91.796,238370,4,Sad
75,Arijit Singh,"Dil Royi Jaye (From ""De De Pyaar De"")","Dil Royi Jaye (From ""De De Pyaar De"")",4TADw9oW8H90ZK1NsEDYyz,0.593,0.521,1,-7.694,1,0.0269,0.731,0.0,0.113,0.542,99.031,256800,4,Happy
76,Arijit Singh,"Pachtaoge (From ""Jaani Ve"")","Pachtaoge (From ""Jaani Ve"")",5QVHNa0ppJUOoqSd36ovQS,0.515,0.691,5,-4.028,0,0.0344,0.624,0.0,0.121,0.484,169.521,226789,3,Fear
77,Ayushmann Khurrana,Chan Kitthan,Chan Kitthan,39es2uqzKE5p6dwL6OjAZh,0.693,0.538,5,-7.665,1,0.0278,0.355,0.0,0.108,0.378,95.993,269351,4,Sad
78,Armaan Malik,Kyun Rabba (Badla),Kyun Rabba,68QwG6Ni1jFQc5Fit2iXp0,0.336,0.704,4,-7.928,0,0.0472,0.27,6.12e-05,0.107,0.361,151.779,292895,4,Fear
79,Ankit Tiwari,"Rula Diya (From ""Batla House"")","Rula Diya (From ""Batla House"")",6sTbnkzOtPpojgnn50cCHJ,0.501,0.739,10,-5.887,1,0.0495,0.391,5.77e-06,0.0497,0.64,76.006,279865,4,Angry
80,Various Artists,Shubh Mangal Zyada Saavdhan,Raakh,6YVi6zHhWQg88xsHkyysKV,0.712,0.448,6,-7.414,1,0.0406,0.637,0.0,0.106,0.26,132.061,184654,4,Sad
81,Darshan Raval,Asal Mein - Single,Asal Mein,1StFDfq4raRws97W8Wb3QS,0.656,0.551,8,-6.43,1,0.0299,0.721,1.26e-06,0.0947,0.33,114.108,224240,4,Sad
82,Pritam,"Shayad (From ""Love Aaj Kal"")","Shayad (From ""Love Aaj Kal"")",018eOid2aGaPdxon7T6GsC,0.487,0.456,8,-7.144,1,0.0319,0.789,1.79e-06,0.141,0.348,136.088,247941,4,Sad
83,Alia Bhatt,"Humsafar (Alia's Version) [From ""Badrinath Ki Dulhania""]",Humsafar (Alia's Version),3xip1NWPCCCPVOPZOdz0tV,0.548,0.274,0,-10.02,1,0.0269,0.887,1.45e-06,0.16,0.225,94.974,170574,4,Sad
84,Pritam,Love Aaj Kal (Original Motion Picture Soundtrack),Mehrama,6cUOiOY5qh2FpIQWIYAd2h,0.56,0.631,7,-9.032,1,0.0334,0.861,0.0133,0.0985,0.376,107.987,249416,4,Fear
85,Arijit Singh,Arijit Singh Broken Strings,"Duaa (From ""Shanghai"")",0MeoxIZvXjyEgeGTMyZc9T,0.554,0.578,5,-7.718,0,0.0379,0.536,5.53e-05,0.11,0.55,137.921,260139,4,Fear
86,Jeet Gannguli,"Khamoshiyan (From ""Khamoshiyan"")","Khamoshiyan (From ""Khamoshiyan"")",5Gy67YHzPZTk9Q0D73LAGH,0.524,0.52,2,-6.838,0,0.0272,0.643,0.0,0.158,0.259,143.885,335710,3,Fear
87,Javed-Mohsin,Pal,Pal,5G7pZ8G8NFvS1MQ9H4L7dC,0.51,0.502,7,-7.016,0,0.0325,0.71,0.0,0.0708,0.321,133.885,247286,4,Fear
88,Arijit Singh,Arijit Singh Broken Strings,"Saware (From ""Phantom"")",4TvWvoxuK9tULN4EQeFh6y,0.499,0.683,6,-6.373,0,0.0333,0.702,0.00163,0.0749,0.297,134.958,321613,4,Fear
89,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],Channa Mereya - Unplugged,0xHvmWCpz9Pnn1sDvRehAs,0.537,0.251,0,-9.533,1,0.0276,0.899,5.76e-05,0.0857,0.288,89.916,165333,4,Sad
90,Jawad Ahmad,"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]","Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]",3TrdGeV5bEpHezExHlsguD,0.643,0.256,10,-9.758,1,0.0252,0.729,1.02e-06,0.0994,0.444,94.999,215611,4,Happy
91,Shankar-Ehsaan-Loy,Best of SEL,"Mitwa (From ""Kabhi Alvida Naa Kehna"")",0zC0r8BmlZxHRSozlhf3wO,0.63,0.63,4,-7.525,1,0.0364,0.295,1.26e-05,0.0934,0.517,107.103,382973,4,Sad
92,Various Artists,Aapke Pyaar Mein (Love Songs),"Piya O Re Piya (From ""Tere Naal Love Ho Gaya"")",71mh0CZeq6Ku6K0AJRxJWZ,0.439,0.574,2,-6.394,1,0.0846,0.269,0.0,0.094,0.31,167.832,292747,4,Fear
93,Mithoon,Aashiqui 2,Sunn Raha Hai (Female),2kRzgmBlmhvFvCEgMHltWz,0.482,0.595,9,-5.336,0,0.0289,0.703,0.000203,0.136,0.482,82.066,314700,4,Fear
94,Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),"Kabhi Khushi Kabhie Gham - Sad Version, 2",6csDlzCjNZXrGpuIExoDOg,0.382,0.464,1,-5.976,1,0.0283,0.705,0.000317,0.107,0.309,82.999,112000,4,Neutral
95,Ismail Darbar,Hum Dil De Chuke Sanam,Tadap Tadap,6n6hEYHXBzWfdSzBX20ZRw,0.468,0.462,2,-10.661,1,0.127,0.514,4.14e-06,0.162,0.161,160.307,397773,3,Fear
96,Sachin-Jigar,Meri Pyaari Bindu,Maana Ke Hum Yaar Nahin,1O3WfEwaSpsgZ6tw8jNT8I,0.537,0.367,8,-9.362,1,0.0241,0.815,0.0,0.132,0.348,90.953,264614,4,Sad
97,Various Artists,Baar Baar Dekho (Original Motion Picture Soundtrack),Kho Gaye Hum Kahan,6nZiYSBwPQ7fYnVWkkkj4g,0.778,0.227,1,-16.191,1,0.0379,0.983,0.14,0.113,0.38,116.033,213056,4,Angry
98,Amaal Mallik,Main Rahoon Ya Na Rahoon,Main Rahoon Ya Na Rahoon,6f3ANRNQ8nCiPZ6VqXqq93,0.55,0.488,6,-8.059,1,0.0284,0.718,0.000118,0.126,0.301,136.025,309458,3,Sad
99,Himesh Reshammiya,Bodyguard,Teri Meri (Reprise),39h7Ye6CM0kcTDvCp64ipH,0.38,0.691,2,-4.855,0,0.0534,0.0406,0.0,0.148,0.566,64.106,215040,4,Fear
